Dependencias,Municipios,Genero,Edad
Dirección Administrativa de Cultura,SAMANIEGO,femenino,49
Dirección Administrativa de Gestión de Riesgo de Desastres,FRANCISCO PIZARRO,masculino,87
Subsecretaría de Gestión Pública,ALDANA,masculino,19
Oficina Jurídica,EL TAMBO,femenino,55
"Secretaría de TIC, Innovación y Gobierno Abierto",LA UNION,masculino,11
Oficina Control Interno Diciplinario,OSPINA,masculino,38
Secretaría de Planeación,LA CRUZ,masculino,29
Subsecretaría Administrativa,BELEN,masculino,5
Oficina Control Interno Diciplinario,GUACHUCAL,femenino,84
Subsecretaría de Asistencia Técnica,IPIALES,masculino,66
Dirección Administrativa de Cultura,CHACHAGUI,femenino,77
Oficina Control Interno Diciplinario,SAN PEDRO DE CARTAGO,femenino,8
Subsecretaría Administrativa,ARBOLEDA,masculino,87
Oficina Control Interno de Gestión,YACUANQUER,femenino,30
Secretaría de Recreación y Deporte,SAN LORENZO,masculino,22
Dirección Administrativa de Cultura,ILES,masculino,85
Oficina Control Interno de Gestión,YACUANQUER,masculino,27
Dirección Administrativa de Turismo,MALLAMA,femenino,7
Subsecretaría de Paz y Derechos Humanos,GUACHUCAL,masculino,39
Archivo General,CHACHAGUI,femenino,67
Subsecretaría de Rentas,ARBOLEDA,masculino,76
Subsecretaría Administrativa y Financiera,SAMANIEGO,femenino,77
Subsecretaría de Calidad Educativa,LA FLORIDA,femenino,9
Secretaría de Educación,IPIALES,femenino,7
Secretaría de Recreación y Deporte,POTOSI,masculino,44
Secretaría de Recreación y Deporte,LINARES,femenino,12
Subsecretaría de Infraestructura y Vías,POTOSI,femenino,35
Subsecretaría de Rentas,ILES,masculino,28
Secretaría de Agricultura y Desarrollo Rural,RICAURTE,masculino,31
Subsecretaría Administrativa,GUAITARILLA,femenino,34
Secretaría de Recreación y Deporte,TANGUA,femenino,29
Subsecretaría de Talento Humano,MOSQUERA,femenino,69
Subsecretaría de Paz y Derechos Humanos,PUERRES,femenino,29
Subsecretaría de Gestión Pública,LINARES,femenino,41
Subsecretaría de Planeación Educativa y Cobertura,OLAYA HERRERA,masculino,59
Subsecretaría de Presupuesto,EL ROSARIO,masculino,37
Subsecretaría de Rentas,CHACHAGUI,masculino,86
Subsecretaría de Rentas,SAN PEDRO DE CARTAGO,femenino,8
Subsecretaría de Infraestructura y Vías,EL TAMBO,femenino,72
Oficina Jurídica,TUQUERRES,masculino,33
Subsecretaría de Calidad Educativa,CHACHAGUI,masculino,35
Secretaría de Planeación,PROVIDENCIA,femenino,50
Oficina Control Interno Diciplinario,ARBOLEDA,femenino,68
Subsecretaría de Rentas,FRANCISCO PIZARRO,masculino,79
Secretaría de Agricultura y Desarrollo Rural,LA LLANADA,masculino,42
Subsecretaría de Minas,SAN PABLO,femenino,38
Subsecretaría de Transito y Trasnporte,CUMBAL,masculino,51
Subsecretaría de Gestión Pública,OLAYA HERRERA,femenino,63
Secretaría de Recreación y Deporte,SAPUYES,femenino,84
Secretaría de Agricultura y Desarrollo Rural,SANDONA,masculino,23
Secretaría de Planeación,PROVIDENCIA,masculino,7
Subsecretaría de Desarrollo Comunitario,CUMBAL,masculino,25
Oficina Control Interno Diciplinario,OLAYA HERRERA,masculino,37
Secretaría de Educación,CHACHAGUI,femenino,50
Secretaría de Planeación,CORDOBA,masculino,49
Dirección Administrativa de Gestión de Riesgo de Desastres,CONSACA,masculino,44
Secretaría de Equidad de Genero e Inclusión Social,YACUANQUER,masculino,66
Secretaría de Recreación y Deporte,ALBAN,masculino,54
Dirección Administrativa de Turismo,SAN BERNARDO,masculino,46
"Secretaría de TIC, Innovación y Gobierno Abierto",CHACHAGUI,femenino,44
Subsecretaría de Gestión Pública,ALBAN,masculino,71
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",FRANCISCO PIZARRO,masculino,38
Secretaría General,ALBAN,masculino,31
Secretaría de Recreación y Deporte,LOS ANDES,masculino,74
Subsecretaría de Economía Regional y Agua Potable,POLICARPA,femenino,57
Secretaría de Planeación,OSPINA,femenino,53
Subsecretaría de Infraestructura y Vías,EL TAMBO,femenino,40
Subsecretaría de Minas,BARBACOAS,femenino,8
Secretaría de Recreación y Deporte,LA UNION,femenino,48
Subsecretaría de Presupuesto,BUESACO,masculino,39
Secretaría de Ambiente y Desarrollo Sostenible,OLAYA HERRERA,femenino,46
Subsecretaría Administrativa,PROVIDENCIA,masculino,50
Subsecretaría de Economía Regional y Agua Potable,POTOSI,femenino,59
Dirección Administrativa de Cultura,SANTA BARBARA,masculino,66
Subsecretaría de Paz y Derechos Humanos,MAGUI,masculino,19
Subsecretaría de Minas,CORDOBA,masculino,86
Subsecretaría de Rentas,GUALMATAN,masculino,15
Secretaría General,SAN PABLO,femenino,48
Subsecretaría de Transito y Trasnporte,RICAURTE,masculino,54
"Secretaría de TIC, Innovación y Gobierno Abierto",RICAURTE,masculino,6
Dirección Administrativa de Gestión de Riesgo de Desastres,CONTADERO,femenino,42
Secretaría de Planeación,OSPINA,femenino,10
Secretaría de Agricultura y Desarrollo Rural,SAN BERNARDO,masculino,53
Subsecretaría de Paz y Derechos Humanos,YACUANQUER,femenino,80
Oficina Control Interno de Gestión,LA TOLA,femenino,38
Dirección Administrativa de Cultura,ANCUYA,femenino,61
Dirección Administrativa de Gestión de Riesgo de Desastres,GUALMATAN,femenino,87
Subsecretaría de Planeación Educativa y Cobertura,CUMBAL,femenino,84
Secretaría de Gobierno,SAN BERNARDO,masculino,33
Subsecretaría de Presupuesto,LA TOLA,femenino,19
Secretaría de Recreación y Deporte,ROBERTO PAYAN,masculino,88
Subsecretaría de Planeación Educativa y Cobertura,LA UNION,masculino,59
Subsecretaría de Rentas,GUALMATAN,masculino,23
Departamento Administrativo de Contratación,BELEN,femenino,84
Subsecretaría Administrativa,CONSACA,masculino,13
Subsecretaría Administrativa,CORDOBA,femenino,79
Oficina Control Interno Diciplinario,MALLAMA,masculino,5
Dirección Administrativa de Turismo,SAN PEDRO DE CARTAGO,femenino,67
Oficina Control Interno Diciplinario,PUERRES,femenino,14
Secretaría de Infraestructura y Minas,TANGUA,masculino,14
Subsecretaría de Presupuesto,CONSACA,masculino,11
Secretaría de Infraestructura y Minas,SAN PABLO,masculino,14
Oficina Control Interno Diciplinario,RICAURTE,femenino,44
Subsecretaría de Gestión Pública,TAMINANGO,masculino,58
Subsecretaría de Calidad Educativa,FUNES,femenino,65
Departamento Administrativo de Contratación,ANCUYA,femenino,20
Subsecretaría de Paz y Derechos Humanos,LOS ANDES,femenino,80
Subsecretaría de Planeación Educativa y Cobertura,OSPINA,masculino,30
Secretaría General,MOSQUERA,femenino,59
Subsecretaría de Paz y Derechos Humanos,CUASPUD,masculino,48
Subsecretaría de Talento Humano,YACUANQUER,masculino,67
Subsecretaría de Asistencia Técnica,LA TOLA,masculino,56
Departamento Administrativo de Contratación,POTOSI,masculino,20
Oficina Control Interno Diciplinario,TUQUERRES,femenino,12
Subsecretaría de Rentas,LEIVA,femenino,42
Subsecretaría de Minas,CHACHAGUI,femenino,83
Subsecretaría de Infraestructura y Vías,CUMBAL,femenino,79
Subsecretaría Administrativa,FRANCISCO PIZARRO,femenino,69
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",BUESACO,femenino,52
Subsecretaría de Desarrollo Comunitario,FUNES,femenino,48
Secretaría de Agricultura y Desarrollo Rural,CHACHAGUI,femenino,72
Secretaría de Equidad de Genero e Inclusión Social,OSPINA,masculino,51
Subsecretaría de Rentas,MOSQUERA,femenino,64
"Secretaría de TIC, Innovación y Gobierno Abierto",EL ROSARIO,masculino,47
Subsecretaría Administrativa,CONSACA,masculino,24
Secretaría de Gobierno,CONSACA,masculino,44
Subsecretaría de Gestión Pública,GUAITARILLA,masculino,68
Subsecretaría Administrativa,SAPUYES,femenino,61
Subsecretaría de Talento Humano,LA LLANADA,masculino,40
Subsecretaría de Calidad Educativa,CONTADERO,femenino,10
Secretaría de Infraestructura y Minas,SAMANIEGO,femenino,55
Oficina Control Interno de Gestión,LOS ANDES,femenino,58
Subsecretaría de Talento Humano,SANDONA,femenino,50
Oficina Control Interno de Gestión,COLON,femenino,44
Subsecretaría de Planeación Educativa y Cobertura,CUMBITARA,masculino,7
Subsecretaría de Economía Regional y Agua Potable,TAMINANGO,femenino,15
Dirección Administrativa de Cultura,CONSACA,femenino,22
Subsecretaría de Minas,GUALMATAN,masculino,35
Subsecretaría de Gestión Pública,SANTA BARBARA,masculino,10
Secretaría de Gobierno,SANDONA,femenino,77
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SANTACRUZ,masculino,75
Oficina Control Interno Diciplinario,ALBAN,masculino,82
Secretaría de Recreación y Deporte,MAGUI,masculino,82
Subsecretaría de Infraestructura y Vías,BELEN,masculino,35
Subsecretaría de Planeación Educativa y Cobertura,CONTADERO,masculino,51
Secretaría de Infraestructura y Minas,MALLAMA,femenino,29
Subsecretaría de Desarrollo Comunitario,ILES,femenino,61
Subsecretaría de Desarrollo Comunitario,EL CHARCO,femenino,38
Departamento Administrativo de Contratación,SANTACRUZ,masculino,49
Subsecretaría de Planeación Educativa y Cobertura,CONSACA,masculino,43
Secretaría de Hacienda,TAMINANGO,masculino,76
Secretaría de Agricultura y Desarrollo Rural,LEIVA,femenino,7
Secretaría de Planeación,TUQUERRES,femenino,23
Subsecretaría de Gestión Ambiental y Crecimiento Verde,EL ROSARIO,masculino,88
Subsecretaría de Gestión Ambiental y Crecimiento Verde,MALLAMA,masculino,82
Secretaría de Educación,CONTADERO,masculino,24
Subsecretaría de Desarrollo Comunitario,LOS ANDES,masculino,82
Dirección Administrativa de Cultura,EL TAMBO,femenino,14
Secretaría de Gobierno,NARIÑO,femenino,56
Oficina Control Interno Diciplinario,TUQUERRES,masculino,58
Subsecretaría Administrativa y Financiera,IPIALES,masculino,88
Dirección Administrativa de Gestión de Riesgo de Desastres,ALDANA,femenino,60
Subsecretaría de Planeación Educativa y Cobertura,TUMACO,femenino,85
Subsecretaría de Rentas,TUMACO,femenino,81
Subsecretaría de Paz y Derechos Humanos,CHACHAGUI,femenino,84
Secretaría de Infraestructura y Minas,CUMBITARA,femenino,68
Subsecretaría de Gestión Pública,SAN PEDRO DE CARTAGO,femenino,31
Oficina Control Interno de Gestión,EL TABLON DE GOMEZ,masculino,81
Secretaría General,NARIÑO,femenino,40
Oficina Control Interno de Gestión,GUAITARILLA,masculino,13
Subsecretaría de Talento Humano,SAPUYES,femenino,52
Subsecretaría de Calidad Educativa,CUMBAL,femenino,15
Subsecretaría de Calidad Educativa,TUMACO,masculino,27
Oficina Control Interno de Gestión,ARBOLEDA,masculino,21
Subsecretaría de Economía Regional y Agua Potable,SANDONA,femenino,33
Subsecretaría de Rentas,BELEN,masculino,29
Subsecretaría de Planeación Educativa y Cobertura,MOSQUERA,masculino,7
Archivo General,SAN BERNARDO,masculino,15
Oficina Control Interno de Gestión,FRANCISCO PIZARRO,masculino,83
Secretaría de Gobierno,EL TABLON DE GOMEZ,femenino,72
Secretaría de Educación,TUQUERRES,femenino,83
Subsecretaría Administrativa y Financiera,ANCUYA,femenino,16
Archivo General,SANTACRUZ,femenino,42
Subsecretaría de Economía Regional y Agua Potable,ROBERTO PAYAN,masculino,15
Subsecretaría de Talento Humano,ALDANA,masculino,86
Dirección Administrativa de Gestión de Riesgo de Desastres,BUESACO,femenino,30
Subsecretaría de Economía Regional y Agua Potable,LEIVA,masculino,72
Subsecretaría de Desarrollo Comunitario,ALBAN,masculino,13
Subsecretaría de Minas,SAPUYES,femenino,35
Subsecretaría de Paz y Derechos Humanos,SAMANIEGO,femenino,41
Dirección Administrativa de Turismo,SANDONA,femenino,74
Secretaría de Recreación y Deporte,BUESACO,femenino,75
Secretaría de Planeación,FRANCISCO PIZARRO,femenino,42
Subsecretaría Administrativa,NARIÑO,femenino,77
Subsecretaría de Transito y Trasnporte,CUASPUD,masculino,76
Subsecretaría de Asistencia Técnica,SAN PEDRO DE CARTAGO,femenino,7
Dirección Administrativa de Cultura,RICAURTE,femenino,38
Secretaría de Agricultura y Desarrollo Rural,FRANCISCO PIZARRO,masculino,75
Dirección Administrativa de Gestión de Riesgo de Desastres,ILES,femenino,9
Subsecretaría de Rentas,POLICARPA,masculino,39
Subsecretaría de Planeación Educativa y Cobertura,SAN BERNARDO,femenino,5
Secretaría de Infraestructura y Minas,POLICARPA,masculino,5
Secretaría General,PUPIALES,femenino,13
Subsecretaría de Gestión Ambiental y Crecimiento Verde,RICAURTE,masculino,84
Secretaría de Hacienda,POTOSI,masculino,11
Subsecretaría de Transito y Trasnporte,EL CHARCO,masculino,46
Subsecretaría de Rentas,COLON,masculino,73
Oficina Control Interno de Gestión,ROBERTO PAYAN,masculino,16
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",CUMBAL,masculino,40
Subsecretaría de Paz y Derechos Humanos,MOSQUERA,masculino,12
Subsecretaría de Talento Humano,LA UNION,masculino,28
Dirección Administrativa de Cultura,TAMINANGO,femenino,85
Subsecretaría de Planeación Educativa y Cobertura,COLON,femenino,7
Dirección Administrativa de Cultura,FRANCISCO PIZARRO,femenino,26
Secretaría de Recreación y Deporte,TAMINANGO,femenino,70
Dirección Administrativa de Turismo,SAN PEDRO DE CARTAGO,femenino,25
Secretaría de Agricultura y Desarrollo Rural,LA CRUZ,masculino,54
Secretaría de Recreación y Deporte,ALBAN,femenino,44
Secretaría de Ambiente y Desarrollo Sostenible,ARBOLEDA,femenino,43
Subsecretaría de Gestión Pública,LOS ANDES,masculino,49
Secretaría de Infraestructura y Minas,SANDONA,femenino,72
Subsecretaría de Minas,OLAYA HERRERA,femenino,60
Subsecretaría Administrativa,PUPIALES,masculino,43
Secretaría de Hacienda,FRANCISCO PIZARRO,femenino,79
Secretaría de Educación,BARBACOAS,femenino,45
Subsecretaría de Paz y Derechos Humanos,PUPIALES,masculino,15
Secretaría de Recreación y Deporte,LINARES,masculino,21
Subsecretaría de Presupuesto,SAN PEDRO DE CARTAGO,masculino,47
Subsecretaría de Transito y Trasnporte,EL TAMBO,femenino,51
Archivo General,LOS ANDES,femenino,79
Subsecretaría de Minas,TANGUA,femenino,57
Subsecretaría de Gestión Pública,SAN BERNARDO,masculino,36
Subsecretaría de Paz y Derechos Humanos,ALDANA,femenino,66
Subsecretaría de Paz y Derechos Humanos,GUALMATAN,femenino,52
Secretaría de Ambiente y Desarrollo Sostenible,EL TAMBO,femenino,70
Archivo General,CHACHAGUI,masculino,71
Subsecretaría de Gestión Pública,SAMANIEGO,femenino,18
Subsecretaría Administrativa y Financiera,SANTACRUZ,femenino,86
Subsecretaría de Gestión Ambiental y Crecimiento Verde,COLON,femenino,36
Subsecretaría de Desarrollo Comunitario,CHACHAGUI,femenino,80
Secretaría de Infraestructura y Minas,LEIVA,femenino,15
Secretaría de Equidad de Genero e Inclusión Social,LA UNION,femenino,65
Dirección Administrativa de Gestión de Riesgo de Desastres,SAN BERNARDO,femenino,61
Subsecretaría de Calidad Educativa,RICAURTE,femenino,85
Subsecretaría de Planeación Educativa y Cobertura,ARBOLEDA,masculino,22
Dirección Administrativa de Cultura,CUMBAL,femenino,27
Archivo General,ILES,masculino,70
Dirección Administrativa de Turismo,CHACHAGUI,masculino,38
Secretaría de Equidad de Genero e Inclusión Social,ANCUYA,femenino,25
Departamento Administrativo de Contratación,EL PEÑOL,masculino,50
Secretaría General,OSPINA,masculino,28
Oficina Control Interno Diciplinario,LINARES,femenino,65
Secretaría General,LA FLORIDA,femenino,85
Subsecretaría de Talento Humano,ALDANA,femenino,44
Archivo General,MALLAMA,femenino,11
Dirección Administrativa de Gestión de Riesgo de Desastres,GUAITARILLA,masculino,38
Subsecretaría de Economía Regional y Agua Potable,ARBOLEDA,masculino,55
Subsecretaría de Infraestructura y Vías,EL ROSARIO,masculino,61
Secretaría de Gobierno,SAN PEDRO DE CARTAGO,femenino,74
Secretaría de Infraestructura y Minas,ROBERTO PAYAN,femenino,10
Secretaría de Hacienda,PROVIDENCIA,masculino,69
Subsecretaría de Presupuesto,ALBAN,masculino,80
Oficina Control Interno de Gestión,CUMBITARA,femenino,8
Secretaría de Educación,TUMACO,masculino,12
Dirección Administrativa de Gestión de Riesgo de Desastres,SAN LORENZO,femenino,31
Secretaría General,SANTA BARBARA,femenino,23
Secretaría de Recreación y Deporte,SAMANIEGO,femenino,55
Departamento Administrativo de Contratación,MALLAMA,femenino,45
Secretaría de Gobierno,ALBAN,masculino,33
Subsecretaría de Gestión Ambiental y Crecimiento Verde,ANCUYA,femenino,80
Subsecretaría de Economía Regional y Agua Potable,ALDANA,femenino,68
Secretaría General,YACUANQUER,femenino,29
Subsecretaría Administrativa y Financiera,SANTACRUZ,masculino,6
Secretaría de Ambiente y Desarrollo Sostenible,ROBERTO PAYAN,masculino,22
Subsecretaría de Gestión Pública,OLAYA HERRERA,masculino,24
Subsecretaría de Economía Regional y Agua Potable,PUERRES,masculino,11
Secretaría de Planeación,COLON,femenino,60
Subsecretaría de Planeación Educativa y Cobertura,PUPIALES,masculino,85
Dirección Administrativa de Cultura,SAN PABLO,femenino,80
Secretaría de Planeación,SAN PABLO,femenino,36
Dirección Administrativa de Turismo,LEIVA,masculino,60
Subsecretaría de Infraestructura y Vías,LA TOLA,masculino,65
Subsecretaría de Economía Regional y Agua Potable,IMUES,masculino,70
Oficina Control Interno de Gestión,POTOSI,masculino,75
Subsecretaría de Calidad Educativa,SAN BERNARDO,femenino,17
Oficina Control Interno de Gestión,ARBOLEDA,masculino,33
Subsecretaría de Minas,SAMANIEGO,femenino,60
Subsecretaría de Talento Humano,CONSACA,femenino,24
Oficina Jurídica,LA UNION,masculino,43
Archivo General,BUESACO,femenino,15
Archivo General,SAN LORENZO,femenino,14
Oficina Jurídica,PUPIALES,femenino,88
Secretaría de Hacienda,TAMINANGO,femenino,7
Secretaría de Hacienda,COLON,masculino,9
Subsecretaría de Paz y Derechos Humanos,EL PEÑOL,femenino,50
Secretaría de Infraestructura y Minas,EL CHARCO,masculino,78
Subsecretaría Administrativa y Financiera,BARBACOAS,masculino,14
Subsecretaría de Rentas,CONSACA,femenino,77
Dirección Administrativa de Turismo,CONSACA,masculino,22
Secretaría de Educación,RICAURTE,femenino,31
Subsecretaría de Transito y Trasnporte,GUAITARILLA,masculino,67
Subsecretaría de Gestión Ambiental y Crecimiento Verde,PUERRES,femenino,76
Subsecretaría de Calidad Educativa,CUASPUD,masculino,82
Secretaría de Gobierno,COLON,femenino,20
Archivo General,SAN LORENZO,femenino,37
Oficina Control Interno de Gestión,LEIVA,masculino,86
Subsecretaría de Gestión Pública,SAN PEDRO DE CARTAGO,femenino,45
Secretaría de Equidad de Genero e Inclusión Social,CUMBAL,femenino,30
Secretaría de Gobierno,PROVIDENCIA,masculino,70
Secretaría de Hacienda,SAN PEDRO DE CARTAGO,femenino,29
Subsecretaría de Talento Humano,LINARES,masculino,67
Archivo General,NARIÑO,masculino,72
Archivo General,LA LLANADA,femenino,80
Subsecretaría de Desarrollo Comunitario,CONSACA,femenino,37
Archivo General,SANTA BARBARA,masculino,52
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",GUAITARILLA,femenino,38
Secretaría de Hacienda,GUALMATAN,femenino,48
Secretaría de Recreación y Deporte,MALLAMA,femenino,57
Secretaría de Hacienda,IPIALES,femenino,62
Secretaría de Hacienda,POTOSI,femenino,40
Subsecretaría de Economía Regional y Agua Potable,EL TABLON DE GOMEZ,femenino,33
Subsecretaría de Talento Humano,MOSQUERA,masculino,26
Oficina Control Interno de Gestión,OSPINA,masculino,35
Subsecretaría de Transito y Trasnporte,CUMBITARA,masculino,82
Oficina Control Interno de Gestión,FUNES,femenino,56
Subsecretaría de Infraestructura y Vías,EL TABLON DE GOMEZ,femenino,65
Dirección Administrativa de Gestión de Riesgo de Desastres,LA CRUZ,masculino,79
Archivo General,CUASPUD,femenino,12
Secretaría General,PROVIDENCIA,masculino,28
Secretaría de Educación,BUESACO,masculino,64
Subsecretaría de Minas,BELEN,femenino,64
Dirección Administrativa de Gestión de Riesgo de Desastres,BARBACOAS,masculino,64
Dirección Administrativa de Cultura,CUMBITARA,masculino,75
Oficina Jurídica,GUALMATAN,masculino,67
Secretaría de Recreación y Deporte,TANGUA,femenino,26
Secretaría de Gobierno,ROBERTO PAYAN,femenino,31
Subsecretaría de Paz y Derechos Humanos,BELEN,femenino,24
Secretaría de Gobierno,LEIVA,femenino,52
Subsecretaría de Gestión Pública,FUNES,femenino,81
Subsecretaría de Paz y Derechos Humanos,MALLAMA,masculino,72
Subsecretaría Administrativa y Financiera,GUAITARILLA,femenino,24
Secretaría de Ambiente y Desarrollo Sostenible,CHACHAGUI,masculino,45
Subsecretaría de Desarrollo Comunitario,SANTACRUZ,masculino,5
Subsecretaría de Desarrollo Comunitario,ALDANA,femenino,49
Subsecretaría de Calidad Educativa,CONTADERO,masculino,29
Secretaría de Equidad de Genero e Inclusión Social,CUASPUD,femenino,48
Oficina Control Interno de Gestión,MOSQUERA,masculino,32
Subsecretaría Administrativa y Financiera,CUMBAL,femenino,39
Oficina Control Interno de Gestión,BUESACO,masculino,59
Subsecretaría de Planeación Educativa y Cobertura,OLAYA HERRERA,femenino,17
Secretaría de Hacienda,FRANCISCO PIZARRO,femenino,6
Subsecretaría de Transito y Trasnporte,BARBACOAS,masculino,55
Secretaría General,LA UNION,femenino,42
Subsecretaría de Calidad Educativa,PUERRES,femenino,84
Secretaría de Ambiente y Desarrollo Sostenible,LEIVA,femenino,87
Secretaría de Educación,CUASPUD,masculino,42
Subsecretaría de Economía Regional y Agua Potable,SAN LORENZO,masculino,46
Archivo General,SANDONA,masculino,58
Secretaría de Gobierno,MAGUI,femenino,12
Subsecretaría de Talento Humano,CORDOBA,femenino,74
Dirección Administrativa de Cultura,BARBACOAS,femenino,40
Subsecretaría de Gestión Pública,CUMBAL,masculino,72
Subsecretaría de Economía Regional y Agua Potable,CUMBAL,femenino,61
Subsecretaría de Transito y Trasnporte,CORDOBA,femenino,77
Subsecretaría Administrativa,EL TAMBO,femenino,75
Subsecretaría de Presupuesto,SANTA BARBARA,masculino,21
Subsecretaría de Rentas,GUAITARILLA,femenino,79
Subsecretaría de Talento Humano,EL TABLON DE GOMEZ,masculino,9
Oficina Control Interno Diciplinario,OSPINA,masculino,70
Secretaría de Planeación,BELEN,masculino,50
Subsecretaría de Paz y Derechos Humanos,LA CRUZ,masculino,10
Secretaría de Educación,YACUANQUER,masculino,42
Subsecretaría de Presupuesto,PROVIDENCIA,masculino,20
Subsecretaría de Calidad Educativa,SAN LORENZO,femenino,20
Subsecretaría de Paz y Derechos Humanos,GUACHUCAL,femenino,71
Dirección Administrativa de Turismo,TAMINANGO,femenino,84
Oficina Control Interno Diciplinario,LA CRUZ,femenino,29
Secretaría de Ambiente y Desarrollo Sostenible,LINARES,femenino,28
Secretaría de Gobierno,SANDONA,femenino,70
Secretaría de Ambiente y Desarrollo Sostenible,LEIVA,femenino,22
Oficina Control Interno de Gestión,MALLAMA,femenino,84
Subsecretaría de Talento Humano,EL TABLON DE GOMEZ,masculino,39
Subsecretaría de Planeación Educativa y Cobertura,POLICARPA,masculino,36
Dirección Administrativa de Gestión de Riesgo de Desastres,FUNES,femenino,69
Oficina Control Interno de Gestión,EL CHARCO,masculino,84
Oficina Control Interno Diciplinario,MAGUI,femenino,32
Secretaría de Equidad de Genero e Inclusión Social,LINARES,femenino,14
Subsecretaría de Planeación Educativa y Cobertura,CHACHAGUI,femenino,40
Dirección Administrativa de Cultura,ARBOLEDA,femenino,55
Subsecretaría de Gestión Ambiental y Crecimiento Verde,ILES,femenino,67
Secretaría de Hacienda,ALBAN,masculino,24
Subsecretaría de Paz y Derechos Humanos,LA UNION,masculino,10
Subsecretaría de Asistencia Técnica,TUMACO,masculino,20
Secretaría General,SAN PEDRO DE CARTAGO,femenino,14
Subsecretaría de Asistencia Técnica,CHACHAGUI,masculino,41
Subsecretaría de Desarrollo Comunitario,PROVIDENCIA,masculino,77
Subsecretaría de Planeación Educativa y Cobertura,LA TOLA,masculino,44
Oficina Control Interno Diciplinario,LINARES,femenino,74
Subsecretaría Administrativa,CHACHAGUI,masculino,20
Subsecretaría de Asistencia Técnica,SAN PEDRO DE CARTAGO,femenino,80
Subsecretaría de Gestión Pública,TANGUA,masculino,7
Secretaría de Infraestructura y Minas,CUASPUD,femenino,73
Subsecretaría de Desarrollo Comunitario,LA LLANADA,femenino,66
Subsecretaría de Gestión Pública,CONTADERO,masculino,67
Subsecretaría Administrativa,CONSACA,masculino,30
Subsecretaría de Paz y Derechos Humanos,BELEN,femenino,32
Subsecretaría Administrativa y Financiera,ANCUYA,masculino,64
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",SANTA BARBARA,masculino,17
Dirección Administrativa de Turismo,LOS ANDES,femenino,24
Subsecretaría Administrativa,ALDANA,masculino,44
Oficina Control Interno de Gestión,BELEN,femenino,62
Subsecretaría de Minas,TAMINANGO,masculino,65
Subsecretaría de Asistencia Técnica,CONTADERO,femenino,40
Secretaría de Hacienda,POLICARPA,femenino,60
Secretaría de Ambiente y Desarrollo Sostenible,SAN LORENZO,femenino,39
Subsecretaría de Paz y Derechos Humanos,YACUANQUER,femenino,52
Subsecretaría de Transito y Trasnporte,SANTACRUZ,femenino,29
Subsecretaría de Paz y Derechos Humanos,CORDOBA,masculino,16
Subsecretaría de Paz y Derechos Humanos,CUMBAL,masculino,42
Subsecretaría de Infraestructura y Vías,BELEN,femenino,78
Secretaría de Planeación,SAN PABLO,masculino,30
Subsecretaría de Rentas,BELEN,femenino,73
Secretaría de Agricultura y Desarrollo Rural,CONTADERO,masculino,9
Subsecretaría de Minas,PUPIALES,masculino,59
Secretaría de Infraestructura y Minas,LINARES,masculino,49
Subsecretaría de Planeación Educativa y Cobertura,SAN LORENZO,femenino,53
Subsecretaría de Gestión Pública,IPIALES,masculino,48
Subsecretaría Administrativa,GUALMATAN,masculino,81
Subsecretaría de Gestión Pública,LA CRUZ,masculino,52
Secretaría de Educación,PUPIALES,femenino,74
Oficina Jurídica,CHACHAGUI,femenino,31
Secretaría de Educación,LA UNION,femenino,59
Dirección Administrativa de Gestión de Riesgo de Desastres,SAN PABLO,masculino,60
Oficina Control Interno de Gestión,MALLAMA,femenino,16
Subsecretaría de Calidad Educativa,EL TAMBO,femenino,47
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SAMANIEGO,masculino,54
"Secretaría de TIC, Innovación y Gobierno Abierto",CHACHAGUI,femenino,29
Secretaría de Ambiente y Desarrollo Sostenible,MAGUI,masculino,20
Secretaría de Equidad de Genero e Inclusión Social,MOSQUERA,femenino,32
Subsecretaría de Paz y Derechos Humanos,FRANCISCO PIZARRO,femenino,45
Secretaría de Equidad de Genero e Inclusión Social,GUALMATAN,femenino,83
Subsecretaría de Talento Humano,GUACHUCAL,femenino,84
Subsecretaría de Transito y Trasnporte,CUMBITARA,masculino,58
Subsecretaría de Gestión Pública,ROBERTO PAYAN,femenino,77
Subsecretaría Administrativa,TUQUERRES,masculino,47
Oficina Jurídica,NARIÑO,masculino,72
Subsecretaría de Paz y Derechos Humanos,CORDOBA,masculino,63
Oficina Control Interno de Gestión,FUNES,femenino,49
Departamento Administrativo de Contratación,FRANCISCO PIZARRO,femenino,17
Subsecretaría Administrativa y Financiera,ALDANA,femenino,47
Subsecretaría de Planeación Educativa y Cobertura,SAN LORENZO,masculino,28
Subsecretaría de Infraestructura y Vías,SAN PABLO,masculino,43
Dirección Administrativa de Gestión de Riesgo de Desastres,POTOSI,femenino,58
Secretaría General,POTOSI,femenino,7
Subsecretaría de Planeación Educativa y Cobertura,CUMBITARA,femenino,43
Secretaría de Planeación,LA UNION,masculino,86
